,,area 1,,,,,,,,area 2,,,,,,,,area 3,,,,,,,
,,upper left,,upper right,,bottom right,,bottom left,,upper left,,upper right,,bottom right,,bottom left,,upper left,,upper right,,bottom right,,bottom left,
video_file,px/mm,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
GroupDeva_Day01,9.3458,85,55,985,55,985,955,85,955,310,280,760,280,760,730,310,730,385,55,685,55,685,280,385,280
GroupDeva_Day02,9.3458,85,55,985,55,985,955,85,955,310,280,760,280,760,730,310,730,385,55,685,55,685,280,385,280
